Date,Customer_ID,Age,Gender,Income,Spending_Score,Credit_Score,Loan_Amount,Previous_Defaults,Marketing_Spend,Purchase_Frequency,Seasonality,Sales,Customer_Churn,Defaulted
2024-04-12,1,56,Female,142418,7,391,8083,1,15376,3,Low,32526,0,0
2024-02-21,2,69,Male,63088,82,652,34328,2,6889,6,Low,78493,0,0
2024-04-02,3,46,Male,136868,91,662,47891,2,6054,29,Medium,57198,1,0
2024-01-15,4,32,Female,85375.5,34,644,25103,2,4868,8,Medium,48395,0,0
2024-04-16,5,60,Male,59811,91,469,44891,1,17585,12,High,29031,1,0
2024-03-12,6,25,Male,134825,17,655,15754,1,19881,13,Low,80542,0,0
2024-03-01,7,38,Female,75479,43,490,39447,1,2842,11,Medium,42701,1,1
2024-01-21,8,56,Male,85375.5,59,721,20901,2,11058,12,Medium,30939,1,0
2024-04-12,9,36,Male,107369,51,306,38004,1,10101,1,Medium,54145,0,0
2024-03-23,10,40,Male,137520,54,432,12446,0,13497,17,Medium,25324,0,1
2024-03-27,11,28,Female,39963,24,330,42211,0,5658,16,Medium,27867,0,0
2024-03-15,12,28,Female,75123,25,834,29817,1,12381,11,Low,5203,0,1
2024-03-15,13,41,Female,145911,71,725,31116,0,8544,13,Low,21544,0,1
2024-03-28,14,53,Male,122468,52,693,46323,0,8718,18,Low,20899,0,0
2024-04-26,15,57,Male,112705,70,588.5,23752,2,14851,11,Low,34063,0,0
2024-04-09,16,41,Female,93477,88,736,37376,1,18154,28,High,95880,0,0
2024-04-13,17,20,Male,34388,33,381,21669,1,12777,12,Low,8748,1,1
2024-01-24,18,39,Male,25569,49,655,37916,2,2628,6,Medium,71629,0,0
2024-01-03,19,19,Female,89836,29,557,29817,0,1386,9,Low,85764,0,0
2024-01-22,20,41,Female,124573,63,823,25421,0,7031,16,High,25884,0,1
2024-02-22,21,61,Male,56586,22,594,31342,1,7439,4,Medium,30183,1,1
2024-01-02,22,47,Male,147018,26,588.5,9895,0,14392,3,Low,86570,0,1
2024-03-28,23,55,Male,32015,28,588.5,29817,2,19850,28,Low,76246,0,0
2024-04-17,24,19,Female,65002,85,588.5,15699,2,3282,16,Low,24259,0,1
2024-01-30,25,38,Female,136594,49,412,14715,1,2856,24,Medium,40959,0,0
2024-02-07,26,50,Female,26254,71,532,24169,2,16670,27,Medium,38457,0,1
2024-01-02,27,29,Female,37144,81,316,21163,2,2998,26,High,90679,1,0
2024-03-04,28,39,Male,44214,84,659,10782,1,6476,25,Medium,7103,1,0
2024-02-29,29,61,Female,85375.5,49,588.5,27641,2,10428,12,Medium,70901,0,0
2024-01-21,30,42,Female,100719,20,747,29817,2,5669,11,Low,49535,1,0
2024-02-02,31,66,Female,91774,86,588.5,40585,2,13336,5,Medium,21103,0,0
2024-03-16,32,44,Female,26090,92,625,29817,0,10342,25,Low,95012,0,0
2024-02-27,33,59,Female,31637,63,766,29817,1,8064,18,Low,83278,1,0
2024-01-22,34,45,Male,42415,61,713,43067,1,8446,19,Medium,17391,0,0
2024-04-17,35,33,Male,44071,49,588.5,47685,1,18815,23,High,33901,1,1
2024-03-29,36,32,Female,78243,71,532,23073,0,6624,23,High,86159,0,0
2024-02-18,37,64,Male,130951,1,523,41035,0,8461,6,Medium,72914,0,0
2024-03-31,38,68,Female,85375.5,96,711,42174,1,2819,22,High,55357,0,0
2024-02-28,39,61,Female,85375.5,13,634,29837,0,11516,18,Low,91908,0,0
2024-02-11,40,69,Male,61240,94,521,22826,1,14749,26,Low,43437,0,0
2024-04-01,41,20,Male,146146,87,336,29817,0,18514,6,Medium,40503,1,0
2024-02-29,42,54,Female,103807,51,577,15382,2,3658,4,High,98459,0,0
2024-03-20,43,68,Female,121570,56,495,9437,2,4500,12,High,80403,1,1
2024-01-15,44,24,Female,53434,83,783,10435,1,3120,19,Low,46258,1,1
2024-03-02,45,38,Male,89724,62,541,29819,0,5020,29,Medium,38724,0,0
2024-03-02,46,26,Female,135359,32,588.5,41875,0,11213,27,High,69286,0,1
2024-02-16,47,56,Female,95697,30,491,36982,2,4259,29,Medium,79842,0,0
2024-03-02,48,35,Female,48732,29,316,38328,2,11081,2,High,19908,0,0
2024-02-20,49,21,Male,141465,49,823,17329,0,2823,17,Low,97617,1,0
2024-04-17,50,42,Female,31314,45,700,29817,0,18858,11,Low,55626,0,0
2024-02-24,51,31,Female,43954,93,321,26932,0,19626,11,Medium,42228,0,0
2024-04-25,52,67,Male,77108,30,773,39594,0,14467,21,Low,28386,0,0
2024-03-04,53,26,Female,107044,16,419,16421,0,7990,16,High,51754,0,0
2024-01-03,54,43,Female,107505,40,509,12629,0,4134,2,Low,33302,0,0
2024-04-10,55,19,Male,131195,19,605,13325,1,19454,2,Medium,65815,0,0
2024-02-20,56,37,Female,123081,18,569,33495,0,17743,23,Medium,89748,0,0
2024-01-07,57,45,Male,56668,1,584,36750,2,16434,8,Medium,68344,0,0
2024-01-21,58,64,Male,43061,78,526,34619,1,16007,13,High,40618,0,0
2024-03-13,59,24,Female,99252,47,680,45461,0,11233,10,High,81234,0,0
2024-02-08,60,61,Female,59749,66,588.5,29817,2,17378,8,High,66114,0,0
2024-01-18,61,25,Female,149668,92,306,17686,1,2141,4,High,75130,1,1
2024-01-04,62,64,Female,124680,94,328,29226,2,19019,15,High,30525,0,0
2024-03-29,63,52,Male,36907,38,332,11721,0,11135,1,Low,84818,0,0
2024-02-29,64,31,Female,38777,51,378,25609,0,13966,11,High,19334,0,0
2024-01-14,65,34,Male,113229,63,758,12373,0,4361,7,High,99715,0,0
2024-04-23,66,53,Female,71745,4,837,43675,0,8835,17,Low,67767,1,0
2024-01-09,67,67,Female,128464,1,781,33937,1,12172,27,High,11644,0,0
2024-03-30,68,57,Female,148077,8,729,10656,1,17390,20,Medium,37933,0,0
2024-02-22,69,21,Male,111865,29,584,13984,2,4267,24,High,48469,1,0
2024-01-02,70,19,Female,132428,55,815,34984,0,7564,18,High,38687,0,0
2024-03-24,71,23,Female,101818,3,398,13286,2,19990,22,Medium,57656,0,0
2024-04-01,72,59,Female,85375.5,32,696,10901,1,12411,29,Medium,22375,0,0
2024-04-20,73,21,Female,43321,10,788,36552,0,6906,22,Medium,70206,0,0
2024-02-29,74,46,Male,30488,74,338,30709,0,17028,12,Medium,41607,0,0
2024-03-11,75,35,Female,42574,83,570,36055,1,8611,9,High,88178,0,0
2024-02-13,76,43,Male,25240,34,456,42685,1,18297,5,Medium,28993,1,0
